PAY_TABLE,START_DATE,END_DATE,PAY_PLAN,GRADE,STEP,BASIC_SALARY
U100,2022-07-25,4712-12-31,AD,15,00,64120
U100,2022-07-25,4712-12-31,AD,15,01,66076
U100,2022-07-25,4712-12-31,AD,15,02,68058
U100,2022-07-25,4712-12-31,AD,15,03,70060
U100,2022-07-25,4712-12-31,AD,15,04,72090
U100,2022-07-25,4712-12-31,AD,15,05,74138
U100,2022-07-25,4712-12-31,AD,15,06,76213
U100,2022-07-25,4712-12-31,AD,15,07,78306
U100,2022-07-25,4712-12-31,AD,15,08,80414
U100,2022-07-25,4712-12-31,AD,15,09,82544
U100,2022-07-25,4712-12-31,AD,15,10,84688
U100,2022-07-25,4712-12-31,AD,15,11,86836
U100,2022-07-25,4712-12-31,AD,15,12,89005
U100,2022-07-25,4712-12-31,AD,15,13,91179
U100,2022-07-25,4712-12-31,AD,15,14,93365
U100,2022-07-25,4712-12-31,AD,15,15,95556
U100,2022-07-25,4712-12-31,AD,15,16,97747
U100,2022-07-25,4712-12-31,AD,15,17,99942
U100,2022-07-25,4712-12-31,AD,15,18,102136
U100,2022-07-25,4712-12-31,AD,15,19,104324
U100,2022-07-25,4712-12-31,AD,15,20,106510
U100,2022-07-25,4712-12-31,AD,15,21,108692
U100,2022-07-25,4712-12-31,AD,15,22,110857
U100,2022-07-25,4712-12-31,AD,15,23,113018
U100,2022-07-25,4712-12-31,AD,15,24,115154
U100,2022-07-25,4712-12-31,AD,15,25,117280
U100,2022-07-25,4712-12-31,AD,15,26,119382
U100,2022-07-25,4712-12-31,AD,15,27,121468
U100,2022-07-25,4712-12-31,AD,15,28,123527
U100,2022-07-25,4712-12-31,AD,15,29,125559
U110,2022-07-25,4712-12-31,AD,17,17,135852
U110,2022-07-25,4712-12-31,AD,17,18,138249
U110,2022-07-25,4712-12-31,AD,17,19,140645
U110,2022-07-25,4712-12-31,AD,17,20,143035
U110,2022-07-25,4712-12-31,AD,17,21,145412
U110,2022-07-25,4712-12-31,AD,17,22,147784
U110,2022-07-25,4712-12-31,AD,17,23,150139
U110,2022-07-25,4712-12-31,AD,17,24,152480
U110,2022-07-25,4712-12-31,AD,17,25,154805
U110,2022-07-25,4712-12-31,AD,17,26,157104
U110,2022-07-25,4712-12-31,AD,17,27,159383
U110,2022-07-25,4712-12-31,AD,17,28,161633
U110,2022-07-25,4712-12-31,AD,17,29,163853
U110,2022-07-25,4712-12-31,AD,18,00,102867
U110,2022-07-25,4712-12-31,AD,18,01,105005
U110,2022-07-25,4712-12-31,AD,18,02,107168
U110,2022-07-25,4712-12-31,AD,18,03,109360
U110,2022-07-25,4712-12-31,AD,18,04,111577
U110,2022-07-25,4712-12-31,AD,18,05,113818
U110,2022-07-25,4712-12-31,AD,18,06,116085
U110,2022-07-25,4712-12-31,AD,18,07,118371
U110,2022-07-25,4712-12-31,AD,18,08,120676
U110,2022-07-25,4712-12-31,AD,18,09,123002
U110,2022-07-25,4712-12-31,AD,18,10,125336
U110,2022-07-25,4712-12-31,AD,18,11,127698
U110,2022-07-25,4712-12-31,AD,18,12,130062
U110,2022-07-25,4712-12-31,AD,18,13,132448
U110,2022-07-25,4712-12-31,AD,18,14,134830
U110,2022-07-25,4712-12-31,AD,18,15,137225
U110,2022-07-25,4712-12-31,AD,18,16,139621
U110,2022-07-25,4712-12-31,AD,18,17,142017
U110,2022-07-25,4712-12-31,AD,18,18,144415
U110,2022-07-25,4712-12-31,AD,18,19,146812
U110,2022-07-25,4712-12-31,AD,18,20,149201
U110,2022-07-25,4712-12-31,AD,18,21,151581
U110,2022-07-25,4712-12-31,AD,18,22,153949
U110,2022-07-25,4712-12-31,AD,18,23,156306
U110,2022-07-25,4712-12-31,AD,18,24,158643
U110,2022-07-25,4712-12-31,AD,18,25,160965
U110,2022-07-25,4712-12-31,AD,18,26,163271
U110,2022-07-25,4712-12-31,AD,18,27,165547
U110,2022-07-25,4712-12-31,AD,18,28,167794
U110,2022-07-25,4712-12-31,AD,18,29,170017
U110,2022-07-25,4712-12-31,AD,12,27,135216
U110,2022-07-25,4712-12-31,AD,12,28,137467
U110,2022-07-25,4712-12-31,AD,12,29,139692
U110,2022-07-25,4712-12-31,AD,13,00,75011
U110,2022-07-25,4712-12-31,AD,13,01,77145
U110,2022-07-25,4712-12-31,AD,13,02,79311
U110,2022-07-25,4712-12-31,AD,13,03,81503
U110,2022-07-25,4712-12-31,AD,13,04,83716
U110,2022-07-25,4712-12-31,AD,13,05,85957
U110,2022-07-25,4712-12-31,AD,13,06,88224
U110,2022-07-25,4712-12-31,AD,13,07,90508
U110,2022-07-25,4712-12-31,AD,15,07,100863
U110,2022-07-25,4712-12-31,AD,15,08,103170
U110,2022-07-25,4712-12-31,AD,15,09,105495
U110,2022-07-25,4712-12-31,AD,15,10,107836
U110,2022-07-25,4712-12-31,AD,15,11,110191
U110,2022-07-25,4712-12-31,AD,15,12,112561
U110,2022-07-25,4712-12-31,AD,15,13,114939
U110,2022-07-25,4712-12-31,AD,15,14,117323
U110,2022-07-25,4712-12-31,AD,15,15,119716
U110,2022-07-25,4712-12-31,AD,15,16,122116
U110,2022-07-25,4712-12-31,AD,15,17,124512
U110,2022-07-25,4712-12-31,AD,15,18,126909
U110,2022-07-25,4712-12-31,AD,15,19,129307
U110,2022-07-25,4712-12-31,AD,15,20,131693
U110,2022-07-25,4712-12-31,AD,15,21,134072
U110,2022-07-25,4712-12-31,AD,15,22,136438
U110,2022-07-25,4712-12-31,AD,15,23,138799
U110,2022-07-25,4712-12-31,AD,15,24,141141
U110,2022-07-25,4712-12-31,AD,15,25,143464
U110,2022-07-25,4712-12-31,AD,15,26,145764
U110,2022-07-25,4712-12-31,AD,15,27,148039
U110,2022-07-25,4712-12-31,AD,15,28,150294
U110,2022-07-25,4712-12-31,AD,15,29,152511
U110,2022-07-25,4712-12-31,AD,16,00,90540
U110,2022-07-25,4712-12-31,AD,16,01,92680
U110,2022-07-25,4712-12-31,AD,16,02,94839
U110,2022-07-25,4712-12-31,AD,16,03,97032
U110,2022-07-25,4712-12-31,AD,16,04,99251
U110,2022-07-25,4712-12-31,AD,16,05,101491
U110,2022-07-25,4712-12-31,AD,16,06,103754
U110,2022-07-25,4712-12-31,AD,16,07,106044
U110,2022-07-25,4712-12-31,AD,16,08,108348
U110,2022-07-25,4712-12-31,AD,16,09,110670
U110,2022-07-25,4712-12-31,AD,16,10,113016
U110,2022-07-25,4712-12-31,AD,16,11,115369
U110,2022-07-25,4712-12-31,AD,16,12,117736
U110,2022-07-25,4712-12-31,AD,16,13,120117
U110,2022-07-25,4712-12-31,AD,16,14,122503
U110,2022-07-25,4712-12-31,AD,16,15,124897
U110,2022-07-25,4712-12-31,AD,16,16,127292
U110,2022-07-25,4712-12-31,AD,16,17,129691
U110,2022-07-25,4712-12-31,AD,16,18,132086
U110,2022-07-25,4712-12-31,AD,16,19,134484
U110,2022-07-25,4712-12-31,AD,16,20,136873
U110,2022-07-25,4712-12-31,AD,16,21,139252
U110,2022-07-25,4712-12-31,AD,16,22,141623
U110,2022-07-25,4712-12-31,AD,16,23,143976
U110,2022-07-25,4712-12-31,AD,16,24,146317
U110,2022-07-25,4712-12-31,AD,16,25,148640
U110,2022-07-25,4712-12-31,AD,16,26,150940
U110,2022-07-25,4712-12-31,AD,16,27,153217
U110,2022-07-25,4712-12-31,AD,16,28,155466
U110,2022-07-25,4712-12-31,AD,16,29,157688
U110,2022-07-25,4712-12-31,AD,17,00,96707
U110,2022-07-25,4712-12-31,AD,17,01,98845
U110,2022-07-25,4712-12-31,AD,17,02,101007
U110,2022-07-25,4712-12-31,AD,17,03,103196
U110,2022-07-25,4712-12-31,AD,17,04,105414
